id,place,title,lat,lng,geo_precision,year_start,year_end,date_precision,type,hook,media_url,licence,source_urls,wow,confidence,notes,story
1,MG Road metro station,Plaza Theatre opens (modelled on Piccadilly Circus),12.97538,77.60649,building,1936,,month,cinema,A 1936 cinema with a dance floor for British soldiers stood where the metro now is,,,https://en.wikipedia.org/wiki/Plaza_Theatre_(Bengaluru),5,verified,"First film The Broadway Melody, April 1936; built by grandsons of Attara Kacheri contractor Arcot Narrainswamy Mudaliar on land of their furniture business","In April 1936 Plaza screened its first film, The Broadway Melody. Brothers A. S. Krishnamoorthy and Rajamanickam Velu built it on land where they had run a furniture business, after travelling to Britain to study cinemas, and modelled it on Piccadilly Circus. It had a bar and a wooden dance floor used by British soldiers. The best balcony seats cost 1 rupee 12 annas."
2,MG Road metro station,The Ten Commandments runs 44 weeks at Plaza,12.97538,77.60649,building,1959,,year,event,Schools brought children in droves; the Maharaja of Mysore got a private screening,,,https://en.wikipedia.org/wiki/Plaza_Theatre_(Bengaluru),4,verified,Year refers to the Maharaja screening; run start year not stated,"The Ten Commandments ran for 44 straight weeks, the longest run in Plaza's history. Schools brought children in by the busload, and in 1959 a private screening was arranged for the Maharaja of Mysore, Jayachamarajendra Wodeyar, and his entourage."
3,MG Road metro station,Plaza's last film: Meet the Fockers,12.97538,77.60649,building,2005,,day,event,The last show was 17 March 2005 — then the building was bought for a mall that was never allowed,,,https://en.wikipedia.org/wiki/Plaza_Theatre_(Bengaluru),4,verified,BBMP refused mall permission; land acquired for Namma Metro,"Plaza's final show was Meet the Fockers on 17 March 2005. The family sold the theatre; a mining investor from Ballari wanted to build a shopping mall, but the city corporation refused permission. The land was acquired for Namma Metro instead."
4,MG Road metro station,MG Road metro station opens; old boulevard demolished,12.97538,77.60649,building,2011,,year,building,The old MG Road boulevard was demolished to build this station,,,https://en.wikipedia.org/wiki/Mahatma_Gandhi_Road_metro_station_(Bengaluru);https://www.wikidata.org/,4,verified,Modern photo = 'Now' side of Then/Now; confirm licence on file page,MG Road metro station now stands on the old Plaza site. Building Namma Metro here meant demolishing the old MG Road boulevard.
5,South Parade / MG Road,South Parade renamed Mahatma Gandhi Road,12.97380,77.60500,street,1948,,day,street,Until 26 Feb 1948 this road was South Parade — the social spine of a British garrison,https://commons.wikimedia.org/wiki/File:Review_Maidan%2C_Bangalore_(Mohammedans_walking_on_South_Parade%2C_St._Andrew%27s_Seen_through_the_Parade_Grounds).jpg,Public domain,https://en.wikipedia.org/wiki/Mahatma_Gandhi_Road%2C_Bengaluru;https://en.wikipedia.org/wiki/Bangalore_Cantonment,5,verified,Coord is a midpoint of MG Road; image dated 1923 on Commons,"Before independence this road was South Parade, the social spine of the British Cantonment, known for its bars, restaurants and shops. On 26 February 1948 it was renamed Mahatma Gandhi Road. The photograph shows people walking on South Parade, with St Andrew's seen across the parade grounds."
6,Parade Ground,The Parade Ground: heart of the Cantonment (est. 1809),12.97500,77.60300,area,1809,,year,story,A military parade ground was the centre of the whole British town,https://commons.wikimedia.org/wiki/File:Bangalore_cantonment.jpg,Public domain,https://en.wikipedia.org/wiki/Bangalore_Cantonment;https://en.wikipedia.org/wiki/Bengaluru_Central_Business_District,4,verified,Map image = 1854 Plan of Bangalore; exact parade ground extent to georeference,"The British formally established the Cantonment in 1809, north-east of Kempe Gowda's old market town. Its heart was the Parade Ground, and the Civil and Military Station grew up around it. The image is an 1854 plan of Bangalore."
7,Freedom Park,Bangalore Central Jail,12.97747,77.58215,building,,2008,decade,building,This park was a prison — Vajpayee and Advani were jailed here during the 1975 Emergency,,,https://en.wikipedia.org/wiki/Freedom_Park%2C_Bengaluru;https://en.wikipedia.org/wiki/Bengaluru_Central_Business_District,5,verified,Jail founding year not yet sourced,"Before it was a park, this was the Bangalore Central Jail. The prison site was later redeveloped as Freedom Park."
8,Freedom Park,Emergency: opposition leaders imprisoned,12.97747,77.58215,building,1975,,year,event,Vajpayee and Advani were among the leaders held here in 1975,,,https://en.wikipedia.org/wiki/Freedom_Park%2C_Bengaluru,5,verified,,"When the Emergency was proclaimed in 1975, several opposition leaders, including Atal Bihari Vajpayee and L. K. Advani, were arrested and jailed in this prison."
9,Freedom Park,Freedom Park opens with a protest zone,12.97747,77.58215,building,2008,,month,building,Part of the old jail is now set aside for protests,,,https://en.wikipedia.org/wiki/Freedom_Park%2C_Bengaluru,3,verified,Opened November 2008,"The old jail reopened to the public as Freedom Park in November 2008, with part of it set aside for protests. It later hosted Anna Hazare's indefinite fast, backed by India Against Corruption, for the Lokpal bill."
10,Sree Kanteerava Stadium,Sampangi Lake drained,12.96977,77.59277,area,1937,,year,story,A stadium sits on the bed of a lake that was drained in 1937,,,https://en.wikipedia.org/wiki/Sree_Kanteerava_Stadium,5,verified,Drained after neglect once Hesaraghatta piped water arrived,"This stadium sits on the bed of Sampangi Lake. Once piped water arrived from Hesaraghatta, the lake was neglected, came to be seen as an environmental hazard, and was drained in 1937."
